"","identifier","log2FoldChange","logCPM","LR","pvalue","padj","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","Symbol"
"13","ENSG00000001617",-0.31029198842147,3.14722277260026,1.28018487192875,0.257864664318885,1,9606,6405,"NULL","3","3p21.3","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","protein-coding","SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","O","sema III/F|sema IV|sema domain, immunogl","SEMA3F"
"14","ENSG00000001626",-2.25973623176806,0.196108466419825,32.4623881057427,1.21521825185243e-08,0.000160226526506743,9606,1080,"tcag7.78","7","7q31.2","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","protein-coding","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","O","cAMP-dependent chloride channel|channel ","CFTR"
"15","ENSG00000001629",0.121997980290498,5.87644000911997,0.345096149061614,0.556902295117747,1,9606,54467,"NULL","7","7q21.2","ankyrin repeat and IBR domain containing 1","protein-coding","ANKIB1","ankyrin repeat and IBR domain containing 1","O","ankyrin repeat and IBR domain-containing","ANKIB1"
"16","ENSG00000001630",-0.334430423523461,7.8105377541233,2.94629997345936,0.0860744181170168,1,9606,1595,"NULL","7","7q21.2","cytochrome P450, family 51, subfamily A, polypeptide 1","protein-coding","CYP51A1","cytochrome P450, family 51, subfamily A, polypeptide 1","O","CYPLI|cytochrome P450 51A1|cytochrome P4","CYP51A1"
"17","ENSG00000001631",-0.277902981141472,5.31490052138568,1.38873370768234,0.238619062501823,1,9606,889,"NULL","7","7q21.2","KRIT1, ankyrin repeat containing","protein-coding","KRIT1","KRIT1, ankyrin repeat containing","O","ankyrin repeat-containing protein Krit1|","KRIT1"
"18","ENSG00000002016",-0.0901946599006327,3.00691148066213,0.122902331042859,0.72590774931709,1,9606,5893,"NULL","12","12p13-p12.2","RAD52 homolog (S. cerevisiae)","protein-coding","RAD52","RAD52 homolog (S. cerevisiae)","O","DNA repair protein RAD52 homolog|recombi","RAD52"
"19","ENSG00000002330",0.18090199775104,3.72230164204713,0.665219404915817,0.414723321923652,1,9606,572,"NULL","11","11q13.1","BCL2-associated agonist of cell death","protein-coding","BAD","BCL2-associated agonist of cell death","O","BCL-X/BCL-2 binding protein|BCL2-antagon","BAD"
"20","ENSG00000002549",-0.173774403272743,7.2290520671145,0.796846080213889,0.372038015736606,1,9606,51056,"NULL","4","4p15.32","leucine aminopeptidase 3","protein-coding","LAP3","leucine aminopeptidase 3","O","LAP-3|cytosol aminopeptidase|leucyl amin","LAP3"
"21","ENSG00000002586",-0.0523732720377777,5.60594985167728,0.0663039514093668,0.796796260391502,1,9606,4267,"NULL","X|Y","Xp22.32 and Yp11.3","CD99 molecule","protein-coding","CD99","CD99 molecule","O","CD99 antigen|E2 antigen|MIC2 (monoclonal","CD99"
"22","ENSG00000002746",1.22330988066716,2.57853431706524,17.19408675946,3.37485215666574e-05,0.418751655599085,9606,23072,"NULL","7","7p13","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","protein-coding","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","O","E3 ubiquitin-protein ligase HECW1|HECT t","HECW1"
"23","ENSG00000002822",0.0921362531394271,5.05907901811464,0.201631373688226,0.653407258064895,1,9606,8379,"NULL","7","7p22","MAD1 mitotic arrest deficient-like 1 (yeast)","protein-coding","MAD1L1","MAD1 mitotic arrest deficient-like 1 (yeast)","O","MAD1-like protein 1|mitotic arrest defic","MAD1L1"
"24","ENSG00000002834",0.345482232802053,8.59575817711669,2.48793659527234,0.114722043012179,1,9606,3927,"NULL","17","17q11-q21.3","LIM and SH3 protein 1","protein-coding","LASP1","LIM and SH3 protein 1","O","LIM and SH3 domain protein 1|metastatic ","LASP1"
"25","ENSG00000002919",0.135933091070606,4.42637702384498,0.294234849952442,0.587519432175495,1,9606,29916,"NULL","17","17q21.32","sorting nexin 11","protein-coding","SNX11","sorting nexin 11","O","sorting nexin-11","SNX11"
"26","ENSG00000002933",0.307228274249542,2.37323887966409,1.62377411458721,0.20256634318507,1,9606,55365,"NULL","7","7q36.1","transmembrane protein 176A","protein-coding","TMEM176A","transmembrane protein 176A","O","hepatocellular carcinoma-associated anti","TMEM176A"
"27","ENSG00000003056",0.741998820744593,7.34245198281271,12.3698247472634,0.000436328560721835,1,9606,4074,"NULL","12","12p13","mannose-6-phosphate receptor (cation dependent)","protein-coding","M6PR","mannose-6-phosphate receptor (cation dependent)","O","46-kDa mannose 6-phosphate receptor|CD M","M6PR"
"28","ENSG00000003096",-0.832006760150062,2.65447484911588,9.24151816650635,0.00236588721407789,1,9606,90293,"NULL","X","Xq23-q24","kelch-like family member 13","protein-coding","KLHL13","kelch-like family member 13","O","BTB and kelch domain containing 2|kelch-","KLHL13"
"29","ENSG00000003137",-0.535668004944434,5.49981168384265,6.59440639774058,0.0102299658690253,1,9606,56603,"NULL","2","2p13.2","cytochrome P450, family 26, subfamily B, polypeptide 1","protein-coding","CYP26B1","cytochrome P450, family 26, subfamily B, polypeptide 1","O","cytochrome P450 26B1|cytochrome P450 ret","CYP26B1"
"30","ENSG00000003147",-0.162880025978151,4.30501283857335,0.629631331483636,0.427490576164419,1,9606,3382,"NULL","7","7p22","islet cell autoantigen 1, 69kDa","protein-coding","ICA1","islet cell autoantigen 1, 69kDa","O","69 kDa islet cell autoantigen|diabetes m","ICA1"
"31","ENSG00000003249",-0.31353413586928,4.41287566071954,1.27380802127881,0.259053511472979,1,9606,79007,"NULL","16","16q24.3","dysbindin (dystrobrevin binding protein 1) domain containing 1","protein-coding","DBNDD1","dysbindin (dystrobrevin binding protein 1) domain containing 1","O","dysbindin domain-containing protein 1","DBNDD1"
"32","ENSG00000003393",0.0916277404310477,5.99574113139361,0.215239602960454,0.64269129000295,1,9606,57679,"NULL","2","2q33.1","amyotrophic lateral sclerosis 2 (juvenile)","protein-coding","ALS2","amyotrophic lateral sclerosis 2 (juvenile)","O","alsin|amyotrophic lateral sclerosis 2 ch","ALS2"
"33","ENSG00000003400",0.0751229561122179,3.83885891734556,0.122493853582053,0.726345287410128,1,9606,843,"NULL","2","2q33-q34","caspase 10, apoptosis-related cysteine peptidase","protein-coding","CASP10","caspase 10, apoptosis-related cysteine peptidase","O","CASP-10|FADD-like ICE2|FAS-associated de","CASP10"
"34","ENSG00000003402",-0.234417674202752,5.69731670681565,1.20506619689943,0.27231145490873,1,9606,8837,"NULL","2","2q33-q34","CASP8 and FADD-like apoptosis regulator","protein-coding","CFLAR","CASP8 and FADD-like apoptosis regulator","O","FADD-like anti-apoptotic molecule|FADD-l","CFLAR"
"35","ENSG00000003436",-0.839890530180223,6.96727283225757,14.6587821468918,0.000128832962533768,1,9606,7035,"NULL","2","2q32","tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)","protein-coding","TFPI","tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)","O","anti-convertin|extrinsic pathway inhibit","TFPI"
"36","ENSG00000003509",-0.500415212826328,3.53135466889725,5.16213136187838,0.0230845516790483,1,9606,55471,"PRO1853","2","2p22.2","NADH dehydrogenase (ubiquinone) complex I, assembly factor 7","protein-coding","NDUFAF7","NADH dehydrogenase (ubiquinone) complex I, assembly factor 7","O","NADH dehydrogenase [ubiquinone] complex ","NDUFAF7"
"37","ENSG00000003756",-0.248926130287939,6.11325083043148,1.52601479693543,0.216711539417,1,9606,10181,"H37","3","3p21.3","RNA binding motif protein 5","protein-coding","RBM5","RNA binding motif protein 5","O","RNA-binding protein 5|putative tumor sup","RBM5"
"38","ENSG00000003987",-0.649323461762823,1.35835271176394,5.03331184871503,0.0248643085123075,1,9606,9108,"NULL","8","8p22","myotubularin related protein 7","protein-coding","MTMR7","myotubularin related protein 7","O","myotubularin-related protein 7","MTMR7"
"39","ENSG00000003989",0.412274643807748,8.00568031925041,3.63388203906163,0.0566146154947156,1,9606,6542,"NULL","8","8p22","solute carrier family 7 (cationic amino acid transporter, y+ system), member 2","protein-coding","SLC7A2","solute carrier family 7 (cationic amino acid transporter, y+ system), member 2","O","low affinity cationic amino acid transpo","SLC7A2"
"40","ENSG00000004059",-0.197740403052016,6.55056684638134,1.03218590615016,0.309645813604387,1,9606,381,"NULL","7","7q31.3","ADP-ribosylation factor 5","protein-coding","ARF5","ADP-ribosylation factor 5","O","NULL","ARF5"
"41","ENSG00000004139",0.0990206897951545,3.21697759500076,0.199928299649364,0.65477872669707,1,9606,23098,"NULL","17","17q11","sterile alpha and TIR motif containing 1","protein-coding","SARM1","sterile alpha and TIR motif containing 1","O","SAM domain-containing protein 2|sterile ","SARM1"
"42","ENSG00000004142",-0.140914210723403,7.36189994839053,0.507595235347736,0.476181717365853,1,9606,26073,"HSPC017","17","17q11.2","polymerase (DNA-directed), delta interacting protein 2","protein-coding","POLDIP2","polymerase (DNA-directed), delta interacting protein 2","O","38 kDa DNA polymerase delta interaction ","POLDIP2"
"43","ENSG00000004399",0.642173445951649,6.96622369869931,6.715759376741,0.00955645898555445,1,9606,23129,"NULL","3","3q22.1","plexin D1","protein-coding","PLXND1","plexin D1","O","plexin-D1","PLXND1"
"44","ENSG00000004455",-0.556840596088893,6.65292326736647,6.46724104157332,0.0109880986004313,1,9606,204,"NULL","1","1p34","adenylate kinase 2","protein-coding","AK2","adenylate kinase 2","O","ATP-AMP transphosphorylase 2|ATP:AMP pho","AK2"
"45","ENSG00000004468",-2.85891827666928,2.98030632298409,42.0080153598276,9.09000529505051e-11,1.21206130604204e-06,9606,952,"NULL","4","4p15","CD38 molecule","protein-coding","CD38","CD38 molecule","O","ADP-ribosyl cyclase 1|ADP-ribosyl cyclas","CD38"
"46","ENSG00000004478",-0.152761537419113,7.69165741712351,0.535118951660962,0.464462660761511,1,9606,2288,"NULL","12","12p13.33","FK506 binding protein 4, 59kDa","protein-coding","FKBP4","FK506 binding protein 4, 59kDa","O","51 kDa FK506-binding protein|FK506-bindi","FKBP4"
"47","ENSG00000004487",-0.436886124525144,7.17055599630672,4.75836330051137,0.0291562601993124,1,9606,23028,"RP1-184J9.1","1","1p36.12","lysine (K)-specific demethylase 1A","protein-coding","KDM1A","lysine (K)-specific demethylase 1A","O","BRAF35-HDAC complex protein BHC110|FAD-b","KDM1A"
"48","ENSG00000004534",0.0159245062488352,5.67960055674898,0.0051818996178663,0.942613516842243,1,9606,10180,"NULL","3","3p21.3","RNA binding motif protein 6","protein-coding","RBM6","RNA binding motif protein 6","O","RNA-binding motif protein 6|RNA-binding ","RBM6"
"49","ENSG00000004660",-0.146426030461164,0.520276599692325,0.138503723815532,0.709773067484972,1,9606,84254,"NULL","17","17p13.2","calcium/calmodulin-dependent protein kinase kinase 1, alpha","protein-coding","CAMKK1","calcium/calmodulin-dependent protein kinase kinase 1, alpha","O","CAMKK alpha protein|caM-KK 1|caM-KK alph","CAMKK1"
"50","ENSG00000004700",-0.4408494251829,6.27853269370373,3.81779922835906,0.0507108041691615,1,9606,5965,"NULL","12","12p12","RecQ protein-like (DNA helicase Q1-like)","protein-coding","RECQL","RecQ protein-like (DNA helicase Q1-like)","O","ATP-dependent DNA helicase Q1|DNA helica","RECQL"
"51","ENSG00000004766",-0.207677859831096,5.07451995137232,0.99402126982693,0.31876152315554,1,9606,55610,"NULL","7","7q21.3","coiled-coil domain containing 132","protein-coding","CCDC132","coiled-coil domain containing 132","O","coiled-coil domain-containing protein 13","CCDC132"
"52","ENSG00000004777",-0.795289874799174,1.49061795518839,7.09469932667849,0.00773122609733438,1,9606,115703,"NULL","19","19q13.12","Rho GTPase activating protein 33","protein-coding","ARHGAP33","Rho GTPase activating protein 33","O","neurite outgrowth multiadaptor RhoGAP pr","ARHGAP33"
"53","ENSG00000004779",-0.237880264914424,6.43535574452034,1.22560095876831,0.268264255745597,1,9606,4706,"NULL","16","16p12.2","NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa","protein-coding","NDUFAB1","NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa","O","CI-SDAP|NADH-ubiquinone oxidoreductase 9","NDUFAB1"
"54","ENSG00000004799",-0.396070777544343,0.634173402977066,1.65255764999787,0.198611178456848,1,9606,5166,"NULL","7","7q21.3","pyruvate dehydrogenase kinase, isozyme 4","protein-coding","PDK4","pyruvate dehydrogenase kinase, isozyme 4","O","[Pyruvate dehydrogenase [lipoamide]] kin","PDK4"
"55","ENSG00000004838",-0.536375707044648,0.394543602711118,1.89635293389885,0.168487110480609,1,9606,51364,"LUCA12.4","3","3p21.3","zinc finger, MYND-type containing 10","protein-coding","ZMYND10","zinc finger, MYND-type containing 10","O","protein BLu|zinc finger MYND domain-cont","ZMYND10"
"56","ENSG00000004864",0.447166157897192,7.17739480520789,5.19151414664891,0.0226974327160583,1,9606,10165,"NULL","7","7q21.3","solute carrier family 25 (aspartate/glutamate carrier), member 13","protein-coding","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","O","calcium-binding mitochondrial carrier pr","SLC25A13"
"57","ENSG00000004866",0.183383907172099,5.26433634970407,0.825384118506659,0.363610664300448,1,9606,7982,"NULL","7","7q31.2","suppression of tumorigenicity 7","protein-coding","ST7","suppression of tumorigenicity 7","O","family with sequence similarity 4, subfa","ST7"
"58","ENSG00000004897",-0.708025179441574,7.06819105819871,10.3652615796776,0.00128408703689315,1,9606,996,"NULL","17","17q21.32","cell division cycle 27","protein-coding","CDC27","cell division cycle 27","O","CDC27 homolog|H-NUC|anaphase promoting c","CDC27"
"59","ENSG00000004961",-0.235338378437258,4.72215424110915,1.1284810252272,0.288099570974087,1,9606,3052,"NULL","X","Xp22.3","holocytochrome c synthase","protein-coding","HCCS","holocytochrome c synthase","O","cytochrome c heme-lyase|cytochrome c-typ","HCCS"
"60","ENSG00000004975",0.868105345508456,6.2121811436061,15.3553424321384,8.90687151369421e-05,1,9606,1856,"NULL","17","17p13.1","dishevelled, dsh homolog 2 (Drosophila)","protein-coding","DVL2","dishevelled, dsh homolog 2 (Drosophila)","O","dishevelled 2 (homologous to Drosophila ","DVL2"
"61","ENSG00000005007",0.10677728324034,7.82642665977882,0.210248816923354,0.646572453746688,1,9606,5976,"NULL","19","19p13.2-p13.11","UPF1 regulator of nonsense transcripts homolog (yeast)","protein-coding","UPF1","UPF1 regulator of nonsense transcripts homolog (yeast)","O","ATP-dependent helicase RENT1|UP Frameshi","UPF1"
"62","ENSG00000005020",0.363599993760184,5.87956105455343,2.58819078646099,0.107663252444819,1,9606,8935,"NULL","7","7p15.2","src kinase associated phosphoprotein 2","protein-coding","SKAP2","src kinase associated phosphoprotein 2","O","Fyn-associated phosphoprotein SKAP55 hom","SKAP2"
"63","ENSG00000005022",-0.0316433562911133,9.13680915313106,0.0206712522938233,0.885678140267122,1,9606,292,"NULL","X","Xq24","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5","protein-coding","SLC25A5","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5","O","ADP,ATP carrier protein 2|ADP,ATP carrie","SLC25A5"
"64","ENSG00000005059",-0.349869913566344,3.48683001429025,1.82097625506031,0.177197114378139,1,9606,55013,"NULL","4","4q25","coiled-coil domain containing 109B","protein-coding","CCDC109B","coiled-coil domain containing 109B","O","coiled-coil domain-containing protein 10","CCDC109B"
"65","ENSG00000005073",0.249471713206326,2.1141585158243,0.955070907923236,0.328431891352581,1,9606,3207,"NULL","7","7p15.2","homeobox A11","protein-coding","HOXA11","homeobox A11","O","homeo box 1I|homeobox protein HOXA11|hom","HOXA11"
"66","ENSG00000005075",0.20762329575746,5.14193342413175,0.870942504976112,0.350694515538207,1,9606,5439,"NULL","7","7q22.1","polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa","protein-coding","POLR2J","polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa","O","DNA-directed RNA polymerase II subunit J","POLR2J"
"67","ENSG00000005100",0.128046309031865,5.8437414993756,0.338877835137382,0.560477673982605,1,9606,56919,"NULL","17","17p13.2","DEAH (Asp-Glu-Ala-His) box polypeptide 33","protein-coding","DHX33","DEAH (Asp-Glu-Ala-His) box polypeptide 33","O","DEAD/H (Asp-Glu-Ala-Asp/His) box polypep","DHX33"
"68","ENSG00000005108",1.9619175277328,4.90378620373764,49.7306170680916,1.76372017574448e-12,2.36215043137459e-08,9606,221981,"NULL","7","7p21.3","thrombospondin, type I, domain containing 7A","protein-coding","THSD7A","thrombospondin, type I, domain containing 7A","O","thrombospondin type-1 domain-containing ","THSD7A"
"69","ENSG00000005156",0.0467801854079834,6.49145712797142,0.0533118386987823,0.817397489491679,1,9606,3980,"NULL","17","17q11.2-q12","ligase III, DNA, ATP-dependent","protein-coding","LIG3","ligase III, DNA, ATP-dependent","O","DNA ligase 3|ligase II, DNA, ATP-depende","LIG3"
"70","ENSG00000005175",-0.636201278896321,6.18641635271509,9.89101817707473,0.00166087445783492,1,9606,79657,"NULL","12","12q13.11","RNA polymerase II associated protein 3","protein-coding","RPAP3","RNA polymerase II associated protein 3","O","RNA polymerase II-associated protein 3","RPAP3"
"71","ENSG00000005187",-0.959031209509411,3.31693557117128,12.4538603252619,0.000417128814691432,1,9606,6296,"NULL","16","16p13.11","acyl-CoA synthetase medium-chain family member 3","protein-coding","ACSM3","acyl-CoA synthetase medium-chain family member 3","O","SA (rat hypertension-associated) homolog","ACSM3"
"72","ENSG00000005189",-0.798193985434309,3.01618613281597,6.33288483473205,0.0118519376438292,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC004381.6"
"73","ENSG00000005194",-0.322321647682215,5.87698270425875,2.44242076842365,0.118093853475785,1,9606,57019,"CUA001","16","16q21","cytokine induced apoptosis inhibitor 1","protein-coding","CIAPIN1","cytokine induced apoptosis inhibitor 1","O","anamorsin|cytokine-induced apoptosis inh","CIAPIN1"
"74","ENSG00000005206",0.154042215357247,5.11408670588552,0.474936110356674,0.490725048620527,1,9606,56928,"NULL","19","19p13.3","signal peptide peptidase like 2B","protein-coding","SPPL2B","signal peptide peptidase like 2B","O","SPP-like 2B|intramembrane protease 4|pre","SPPL2B"
"75","ENSG00000005238",1.13965943312697,2.86693137218641,18.4906379349644,1.70740949379817e-05,0.213853039098221,9606,80256,"NULL","9","9p13.3","family with sequence similarity 214, member B","protein-coding","FAM214B","family with sequence similarity 214, member B","O","protein FAM214B","FAM214B"
"76","ENSG00000005249",-1.78406635961678,3.74991773325851,23.8252783377998,1.05487991712606e-06,0.0135921277321693,9606,5577,"NULL","7","7q22","protein kinase, cAMP-dependent, regulatory, type II, beta","protein-coding","PRKAR2B","protein kinase, cAMP-dependent, regulatory, type II, beta","O","H_RG363E19.2|WUGSC:H_RG363E19.2|cAMP-dep","PRKAR2B"
"77","ENSG00000005302",0.0561306060943911,2.79107413739941,0.0565664461529418,0.812007507720212,1,9606,10943,"NULL","X","Xp22.3","male-specific lethal 3 homolog (Drosophila)","protein-coding","MSL3","male-specific lethal 3 homolog (Drosophila)","O","MSL3-like 1|male-specific lethal 3 homol","MSL3"
"78","ENSG00000005339",0.587072431609006,6.329192489149,4.4920926825017,0.034051969463932,1,9606,1387,"NULL","16","16p13.3","CREB binding protein","protein-coding","CREBBP","CREB binding protein","O","CREB-binding protein","CREBBP"
"79","ENSG00000005421",-1.36880531764942,3.66024677412753,17.8607257592486,2.3767584998584e-05,0.296286714592348,9606,5444,"NULL","7","7q21.3","paraoxonase 1","protein-coding","PON1","paraoxonase 1","O","A-esterase 1|K-45|PON 1|aromatic esteras","PON1"
"80","ENSG00000005436",-0.145881186189496,4.0755743008897,0.375309507865989,0.540124260650769,1,9606,6936,"NULL","2","2p12","GC-rich sequence DNA-binding factor 2","protein-coding","GCFC2","GC-rich sequence DNA-binding factor 2","O","GC binding factor|GC bindng factor|TCF-9","GCFC2"
"81","ENSG00000005448",-1.15044631107289,0.379952884885484,11.1131580629025,0.000857174103250447,1,9606,84058,"NULL","2","2p13.1","WD repeat domain 54","protein-coding","WDR54","WD repeat domain 54","O","WD repeat-containing protein 54","WDR54"
"82","ENSG00000005469",-0.758074820343638,3.71437618853639,5.02062471783754,0.0250471308359677,1,9606,54677,"NULL","7","7q21.1","carnitine O-octanoyltransferase","protein-coding","CROT","carnitine O-octanoyltransferase","O","peroxisomal carnitine O-octanoyltransfer","CROT"
"83","ENSG00000005471",-0.739613527981485,3.40934180306743,9.82454882835678,0.00172197935550807,1,9606,5244,"NULL","7","7q21.1","ATP-binding cassette, sub-family B (MDR/TAP), member 4","protein-coding","ABCB4","ATP-binding cassette, sub-family B (MDR/TAP), member 4","O","ATP-binding cassette sub-family B member","ABCB4"
"84","ENSG00000005483",-0.299296962069319,5.84018241460679,1.99413126372329,0.157909588924031,1,9606,55904,"NULL","7","7q22.1","lysine (K)-specific methyltransferase 2E","protein-coding","KMT2E","lysine (K)-specific methyltransferase 2E","O","histone-lysine N-methyltransferase MLL5|","KMT2E"
"85","ENSG00000005486",-0.0487487315687331,5.09680167253794,0.0541519929461591,0.815989859105721,1,9606,57414,"NULL","7","7q11.23","rhomboid domain containing 2","protein-coding","RHBDD2","rhomboid domain containing 2","O","H_RG122E10.2a|H_RG122E10.2b|WUGSC:H_RG12","RHBDD2"
"86","ENSG00000005700",0.402743574774966,7.44884909842829,4.08538867838417,0.0432555016987433,1,9606,25998,"NULL","6","6q14.1","inhibitor of Bruton agammaglobulinemia tyrosine kinase","protein-coding","IBTK","inhibitor of Bruton agammaglobulinemia tyrosine kinase","O","BTK-binding protein|Bruton agammaglobuli","IBTK"
"87","ENSG00000005801",-0.262874021315535,5.13380359695215,1.6044856817849,0.205268680883756,1,9606,7748,"NULL","11","11p15.5","zinc finger protein 195","protein-coding","ZNF195","zinc finger protein 195","O","hypoxia-regulated factor-1|krueppel fami","ZNF195"
"88","ENSG00000005810",0.157690695059267,5.87192270732377,0.527625827406084,0.467606724693593,1,9606,23077,"AC001226.5","13","13q22","MYC binding protein 2, E3 ubiquitin protein ligase","protein-coding","MYCBP2","MYC binding protein 2, E3 ubiquitin protein ligase","O","myc-binding protein 2|pam/highwire/rpm-1","MYCBP2"
"89","ENSG00000005812",-0.283911544282068,5.92950642374136,1.74516025207537,0.186486314721885,1,9606,26224,"NULL","13","13q22","F-box and leucine-rich repeat protein 3","protein-coding","FBXL3","F-box and leucine-rich repeat protein 3","O","F-box and leucine-rich repeat protein 3A","FBXL3"
"90","ENSG00000005844",-1.37874309641683,3.15670061062465,22.0484215180434,2.65858220899909e-06,0.0339899735420534,9606,3683,"NULL","16","16p11.2","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","protein-coding","ITGAL","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","O","CD11 antigen-like family member A|LFA-1 ","ITGAL"
"91","ENSG00000005882",-0.790399744607168,1.91283716918351,7.89694016818331,0.00495184934584793,1,9606,5164,"NULL","17","17q21.33","pyruvate dehydrogenase kinase, isozyme 2","protein-coding","PDK2","pyruvate dehydrogenase kinase, isozyme 2","O","PDH kinase 2|pyruvate dehydrogenase kina","PDK2"
"92","ENSG00000005884",0.631764530069325,2.35076744188753,4.17089027573536,0.0411241852735669,1,9606,3675,"NULL","17","17q21.33","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","protein-coding","ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","O","CD49 antigen-like family member C|FRP-2|","ITGA3"
"93","ENSG00000005889",-0.153389449684704,5.84358721290349,0.57224113798781,0.449369719732625,1,9606,7543,"NULL","X","Xp21.3","zinc finger protein, X-linked","protein-coding","ZFX","zinc finger protein, X-linked","O","X-linked zinc finger protein|zinc finger","ZFX"
